Name,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Invincibility
Standard Kart,3,3,3,3,4,2,3,2,3,3,3,4,3
300 SL Roadster,3,3,3,3,4,2,3,2,3,3,3,4,4
Pipe Frame,1,3,1,1,6,1,5,4,2,4,4,6,2
Varmint,1,3,1,1,6,1,5,4,2,4,4,6,1
Mach 8,3,3,4,5,3,3,2,2,2,4,4,4,4
Inkstriker,3,3,4,5,3,3,2,2,2,4,4,4,3
Steel Driver,4,5,0,2,1,4,1,5,1,1,3,2,6
Bone Rattler,4,5,0,2,1,4,1,5,1,1,3,2,5
Cat Cruiser,2,2,4,3,5,2,4,2,4,3,3,5,3
Comet,2,2,4,3,5,2,4,2,4,3,3,5,2
Circuit Special,5,1,2,4,1,3,1,1,0,2,1,1,6
Badwagon,5,2,1,3,0,4,0,1,0,1,5,0,7
Standard ATV,5,2,1,3,0,4,0,1,0,1,5,0,6
Prancer,4,3,3,3,2,1,3,3,3,2,2,3,5
Sport Bike,4,3,3,3,2,1,3,3,3,2,2,3,3
Biddybuggy,0,1,1,2,7,0,5,4,4,5,4,7,0
Landship,1,5,2,0,6,0,4,5,3,2,6,6,1
Streetle,1,5,2,0,6,0,4,5,3,2,6,6,2
Sneeker,4,2,3,3,2,2,3,2,2,3,0,3,5
Gold Standard,4,2,3,3,2,2,3,2,2,3,0,3,4
Master Cycle,4,2,3,3,2,2,3,2,2,3,0,3,3
Standard Bike,2,2,3,4,5,1,4,3,3,4,5,5,2
Wild Wiggler,2,2,3,4,5,1,4,3,3,4,5,5,1
W 25 Silver Arrow,2,2,3,4,5,1,4,3,3,4,5,5,3
Blue Falcon,4,2,3,4,3,0,2,3,1,5,3,3,4
Splat Buggy,4,2,3,4,3,0,2,3,1,5,3,3,3
Tanooki Kart,2,4,3,3,2,3,4,4,3,3,7,3,4
Koopa Clown,2,4,3,3,2,3,4,4,3,3,7,3,3
