Name,Acceleration,Weight,Traction,MiniTurbo,Invincibility,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling
"{""character"":""Baby Peach"",""body"":""Standard Kart"",""tire"":""Standard"",""glider"":""Super Glider""}",13,5,14,13,13,6,7,8,5,17,15,17,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",13,5,14,13,15,6,7,8,5,17,15,17,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",14,4,14,14,14,5,7,7,6,17,15,18,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Wario Wing""}",13,6,13,13,15,6,6,8,6,17,16,17,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Peach Parasol""}",14,5,13,14,14,5,6,7,6,17,16,18,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Super Glider""}",11,7,16,12,16,6,6,6,5,14,13,15,14
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Cloud Glider""}",12,6,16,13,15,5,6,5,6,14,13,16,14
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Wario Wing""}",11,8,15,12,16,6,5,6,6,14,14,15,13
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Peach Parasol""}",12,7,15,13,15,5,5,5,6,14,14,16,13
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Super Glider""}",15,3,13,16,11,4,7,8,3,18,16,18,18
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Cloud Glider""}",16,2,13,17,10,3,7,7,4,18,16,19,18
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Wario Wing""}",15,4,12,16,11,4,6,8,4,18,17,18,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Peach Parasol""}",16,3,12,17,10,3,6,7,4,18,17,19,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Super Glider""}",11,5,10,12,15,7,6,7,7,18,16,18,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Cloud Glider""}",12,4,10,13,14,6,6,6,8,18,16,19,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Wario Wing""}",11,6,9,12,15,7,5,7,8,18,17,18,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Peach Parasol""}",12,5,9,13,14,6,5,6,8,18,17,19,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slick"",""glider"":""Super Glider""}",10,6,9,10,15,8,4,5,7,16,12,15,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slick"",""glider"":""Wario Wing""}",10,7,8,10,15,8,3,5,8,16,13,15,15
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Super Glider""}",9,7,11,10,16,8,7,7,4,16,14,14,15
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Cloud Glider""}",10,6,11,11,15,7,7,6,5,16,14,15,15
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Wario Wing""}",9,8,10,10,16,8,6,7,5,16,15,14,14
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Peach Parasol""}",10,7,10,11,15,7,6,6,5,16,15,15,14
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Super Glider""}",14,3,12,15,13,5,6,7,5,17,15,16,18
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Cloud Glider""}",15,2,12,16,12,4,6,6,6,17,15,17,18
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Wario Wing""}",14,4,11,15,13,5,5,7,6,17,16,16,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Peach Parasol""}",15,3,11,16,12,4,5,6,6,17,16,17,17
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Super Glider""}",12,6,15,11,17,7,8,6,5,15,13,16,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Cloud Glider""}",13,5,15,12,16,6,8,5,6,15,13,17,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Wario Wing""}",12,7,14,11,17,7,7,6,6,15,14,16,15
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Peach Parasol""}",13,6,14,12,16,6,7,5,6,15,14,17,15
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Super Glider""}",13,4,15,14,16,5,5,9,4,16,13,17,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Cloud Glider""}",14,3,15,15,15,4,5,8,5,16,13,18,16
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Wario Wing""}",13,5,14,14,16,5,4,9,5,16,14,17,15
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Peach Parasol""}",14,4,14,15,15,4,4,8,5,16,14,18,15
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",15,4,15,15,13,4,7,6,3,19,17,16,18
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",16,3,15,16,12,3,7,5,4,19,17,17,18
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Wario Wing""}",15,5,14,15,13,4,6,6,4,19,18,16,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Peach Parasol""}",16,4,14,16,12,3,6,5,4,19,18,17,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Super Glider""}",13,6,17,14,14,4,6,4,3,16,15,14,15
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Cloud Glider""}",14,5,17,15,13,3,6,3,4,16,15,15,15
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Wario Wing""}",13,7,16,14,14,4,5,4,4,16,16,14,14
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Peach Parasol""}",14,6,16,15,13,3,5,3,4,16,16,15,14
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Super Glider""}",17,2,14,18,9,2,7,6,1,20,18,17,19
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Cloud Glider""}",18,1,14,19,8,1,7,5,2,20,18,18,19
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Wario Wing""}",17,3,13,18,9,2,6,6,2,20,19,17,18
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Peach Parasol""}",18,2,13,19,8,1,6,5,2,20,19,18,18
