Name,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Invincibility
Standard,2,3,3,2,4,2,3,3,3,3,5,3,3
GLA Tires,2,3,3,2,4,2,3,3,3,3,5,3,4
Monster,2,2,1,2,2,4,0,1,1,0,7,2,5
Ancient Tires,2,2,1,2,2,4,0,1,1,0,7,2,4
Roller,0,3,3,0,6,0,4,4,4,4,4,6,0
Slim,3,2,2,4,2,2,4,4,4,3,1,2,4
Slick,4,0,0,4,1,3,2,0,1,2,0,0,4
Metal,4,3,2,1,0,4,2,2,0,1,2,0,5
Gold Tires,4,3,2,1,0,4,2,2,0,1,2,0,4
Button,1,2,2,2,5,0,3,3,2,4,3,5,2
Off-Road,3,4,1,2,3,3,1,1,2,2,6,1,6
Triforce Tires,3,4,1,2,3,3,1,1,2,2,6,1,5
Sponge,1,1,4,1,4,1,2,1,3,2,6,4,3
Cushion,1,1,4,1,4,1,2,1,3,2,6,4,5
