Name,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Invincibility
Standard Kart,0,0,0,0,0,0,0,0,0,0,0,0,0
300 SL Roadster,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Pipe Frame,-0.5,-0.5,0,-0.5,0.5,-0.25,0.5,0.25,0.5,-0.25,0.25,0.5,-0.25
Mach 8,0,0.5,0,0.25,-0.25,0.25,-0.25,0.25,0,-0.25,0.25,0,0.25
Steel Driver,0.25,-0.25,0.5,-0.75,-0.75,0.5,-0.5,-0.5,0.75,-0.5,0,-0.5,0.75
Cat Cruiser,-0.25,0,-0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0
Comet,-0.25,0,-0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,-0.25
Circuit Special,0.5,0.25,-0.5,-0.25,-0.75,0.25,-0.5,-0.25,-0.25,-0.75,-0.5,-0.75,0.75
Badwagon,0.5,0,-0.25,-0.5,-1,0.5,-0.75,-0.5,-0.25,-0.75,0.5,-1,1
Prancer,0.25,0,0,0,-0.5,-0.25,0,-0.25,0.25,0,-0.25,-0.25,0.5
Sport Bike,0.25,0,0,0,-0.5,-0.25,0,-0.25,0.25,0,-0.25,-0.25,0
Biddybuggy,-0.75,-0.25,-0.5,-0.5,0.75,-0.5,0.5,0.5,0.5,0.25,0.25,0.75,-0.75
Streetle,-0.5,-0.75,0.5,-0.25,0.5,-0.5,0.25,-0.25,0.75,0,0.75,0.5,-0.25
Sneeker,0.25,0,-0.25,0,-0.5,0,0,0,0,-0.25,-0.75,-0.25,0.5
Master Cycle,0.25,0,-0.25,0,-0.5,0,0,0,0,-0.25,-0.75,-0.25,0
W 25 Silver Arrow,-0.25,0.25,-0.25,0,0.25,-0.25,0.25,0.25,0.25,0,0.5,0.25,0
Blue Falcon,0.25,0.25,-0.25,0,-0.25,-0.5,-0.25,0.5,0.25,-0.5,0,-0.25,0.25
Tanooki Kart,-0.25,0,0.25,0,-0.5,0.25,0.25,0,0.5,0,1,-0.25,0.25
