Name,Acceleration,Weight,Traction,MiniTurbo,Invincibility,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling
"{""character"":""Baby Peach"",""body"":""Standard Kart"",""tire"":""Standard"",""glider"":""Super Glider""}",4,2,4.25,4,4,2.25,2,2.5,2.75,5,5,4.5,5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",4,2,4.25,4,4.5,2.25,2,2.5,2.75,5,5,4.5,5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",4.25,1.75,4.25,4.25,4.25,2,2.25,2.5,2.5,5,5,4.5,5.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Wario Wing""}",4,2.25,4,4,4.5,2.25,2.25,2.25,2.75,5,4.75,4.75,5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""GLA Tires"",""glider"":""Peach Parasol""}",4.25,2,4,4.25,4.25,2,2.25,2.25,2.5,5,4.75,4.75,5.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Super Glider""}",3.5,2.5,4.75,3.75,4.75,2.25,2,2.25,2.25,4.25,4.25,4,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Cloud Glider""}",3.75,2.25,4.75,4,4.5,2,2.25,2.25,2,4.25,4.25,4,4.75
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Wario Wing""}",3.5,2.75,4.5,3.75,4.75,2.25,2.25,2,2.25,4.25,4,4.25,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Monster"",""glider"":""Peach Parasol""}",3.75,2.5,4.5,4,4.5,2,2.25,2,2,4.25,4,4.25,4.75
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Super Glider""}",4.5,1.5,4,4.75,3.5,1.75,1.5,2.5,2.75,5.25,5.25,4.75,5.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Cloud Glider""}",4.75,1.25,4,5,3.25,1.5,1.75,2.5,2.5,5.25,5.25,4.75,5.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Wario Wing""}",4.5,1.75,3.75,4.75,3.5,1.75,1.75,2.25,2.75,5.25,5,5,5.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Roller"",""glider"":""Peach Parasol""}",4.75,1.5,3.75,5,3.25,1.5,1.75,2.25,2.5,5.25,5,5,5.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Super Glider""}",3.5,2,3.25,3.75,4.5,2.5,2.5,2.25,2.5,5.25,5,4.75,5.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Cloud Glider""}",3.75,1.75,3.25,4,4.25,2.25,2.75,2.25,2.25,5.25,5,4.75,5.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Wario Wing""}",3.5,2.25,3,3.75,4.5,2.5,2.75,2,2.5,5.25,4.75,5,5.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slim"",""glider"":""Peach Parasol""}",3.75,2,3,4,4.25,2.25,2.75,2,2.25,5.25,4.75,5,5.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slick"",""glider"":""Super Glider""}",3.25,2.25,3,3.25,4.5,2.75,2.5,1.75,2,4.75,4.75,3.75,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Slick"",""glider"":""Wario Wing""}",3.25,2.5,2.75,3.25,4.5,2.75,2.75,1.5,2,4.75,4.5,4,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Super Glider""}",3,2.5,3.5,3.25,4.75,2.75,1.75,2.5,2.5,4.75,4.5,4.25,4.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Cloud Glider""}",3.25,2.25,3.5,3.5,4.5,2.5,2,2.5,2.25,4.75,4.5,4.25,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Wario Wing""}",3,2.75,3.25,3.25,4.75,2.75,2,2.25,2.5,4.75,4.25,4.5,4.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Metal"",""glider"":""Peach Parasol""}",3.25,2.5,3.25,3.5,4.5,2.5,2,2.25,2.25,4.75,4.25,4.5,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Super Glider""}",4.25,1.5,3.75,4.5,4,2,2,2.25,2.5,5,5.25,4.5,4.75
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Cloud Glider""}",4.5,1.25,3.75,4.75,3.75,1.75,2.25,2.25,2.25,5,5.25,4.5,5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Wario Wing""}",4.25,1.75,3.5,4.5,4,2,2.25,2,2.5,5,5,4.75,4.75
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Button"",""glider"":""Peach Parasol""}",4.5,1.5,3.5,4.75,3.75,1.75,2.25,2,2.25,5,5,4.75,5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Super Glider""}",3.75,2.25,4.5,3.5,5,2.5,2,2.75,2.25,4.5,4.75,4,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Cloud Glider""}",4,2,4.5,3.75,4.75,2.25,2.25,2.75,2,4.5,4.75,4,4.75
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Wario Wing""}",3.75,2.5,4.25,3.5,5,2.5,2.25,2.5,2.25,4.5,4.5,4.25,4.5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Off-Road"",""glider"":""Peach Parasol""}",4,2.25,4.25,3.75,4.75,2.25,2.25,2.5,2,4.5,4.5,4.25,4.75
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Super Glider""}",4,1.75,4.5,4.25,4.75,2,1.75,2,3,4.75,5,4,5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Cloud Glider""}",4.25,1.5,4.5,4.5,4.5,1.75,2,2,2.75,4.75,5,4,5.25
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Wario Wing""}",4,2,4.25,4.25,4.75,2,2,1.75,3,4.75,4.75,4.25,5
"{""character"":""Baby Peach"",""body"":""300 SL Roadster"",""tire"":""Cushion"",""glider"":""Peach Parasol""}",4.25,1.75,4.25,4.5,4.5,1.75,2,1.75,2.75,4.75,4.75,4.25,5.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",4.5,1.75,4.5,4.5,4,1.75,1.5,2.5,2.25,5.5,5.25,5,4.75
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",4.75,1.5,4.5,4.75,3.75,1.5,1.75,2.5,2,5.5,5.25,5,5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Wario Wing""}",4.5,2,4.25,4.5,4,1.75,1.75,2.25,2.25,5.5,5,5.25,4.75
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""GLA Tires"",""glider"":""Peach Parasol""}",4.75,1.75,4.25,4.75,3.75,1.5,1.75,2.25,2,5.5,5,5.25,5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Super Glider""}",4,2.25,5,4.25,4.25,1.75,1.5,2.25,1.75,4.75,4.5,4.5,4.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Cloud Glider""}",4.25,2,5,4.5,4,1.5,1.75,2.25,1.5,4.75,4.5,4.5,4.5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Wario Wing""}",4,2.5,4.75,4.25,4.25,1.75,1.75,2,1.75,4.75,4.25,4.75,4.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Monster"",""glider"":""Peach Parasol""}",4.25,2.25,4.75,4.5,4,1.5,1.75,2,1.5,4.75,4.25,4.75,4.5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Super Glider""}",5,1.25,4.25,5.25,3,1.25,1,2.5,2.25,5.75,5.5,5.25,5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Cloud Glider""}",5.25,1,4.25,5.5,2.75,1,1.25,2.5,2,5.75,5.5,5.25,5.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Wario Wing""}",5,1.5,4,5.25,3,1.25,1.25,2.25,2.25,5.75,5.25,5.5,5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Roller"",""glider"":""Peach Parasol""}",5.25,1.25,4,5.5,2.75,1,1.25,2.25,2,5.75,5.25,5.5,5.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Super Glider""}",4,1.75,3.5,4.25,4,2,2,2.25,2,5.75,5.25,5.25,5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Cloud Glider""}",4.25,1.5,3.5,4.5,3.75,1.75,2.25,2.25,1.75,5.75,5.25,5.25,5.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Wario Wing""}",4,2,3.25,4.25,4,2,2.25,2,2,5.75,5,5.5,5
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Peach Parasol""}",4.25,1.75,3.25,4.5,3.75,1.75,2.25,2,1.75,5.75,5,5.5,5.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Super Glider""}",3.5,2.25,3.75,3.75,4.25,2.25,1.25,2.5,2,5.25,4.75,4.75,4
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Cloud Glider""}",3.75,2,3.75,4,4,2,1.5,2.5,1.75,5.25,4.75,4.75,4.25
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Wario Wing""}",3.5,2.5,3.5,3.75,4.25,2.25,1.5,2.25,2,5.25,4.5,5,4
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Peach Parasol""}",3.75,2.25,3.5,4,4,2,1.5,2.25,1.75,5.25,4.5,5,4.25
