Name,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Invincibility
Standard,0,0,0,0,0,0,0,0,0,0,0,0,0
GLA Tires,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Monster,0,0,-0.25,-0.5,-0.5,0.5,-0.75,-0.75,-0.5,-0.5,0.5,-0.25,0.5
Roller,-0.5,-0.5,0,0,0.5,-0.5,0.25,0.25,0.25,0.25,-0.25,0.75,-0.75
Slim,0.25,0.5,-0.25,-0.25,-0.5,0,0.25,0,0.25,0.25,-1,-0.25,0.25
Slick,0.5,0.5,-0.75,-0.75,-0.75,0.25,-0.25,-0.25,-0.75,-0.5,-1.25,-0.75,0.25
Metal,0.5,-0.25,0,-0.25,-1,0.5,-0.25,-0.5,-0.25,-0.75,-0.75,-0.75,0.5
Button,-0.25,0,-0.25,-0.25,0.25,-0.5,0,0.25,0,-0.25,-0.5,0.5,-0.25
Off-Road,0.25,0,0.25,-0.5,-0.25,0.25,-0.5,-0.25,-0.5,-0.5,0.25,-0.5,0.75
Cushion,-0.25,-0.25,-0.5,0.25,0,-0.25,-0.25,0,-0.5,0,0.25,0.25,0.5
